RAM_GB,Storage_GB,Processor_Speed_GHz,Screen_Size_Inches,Price_USD
16,512,1.59,15.9,1075.66
32,256,3.41,13.4,1497.14
4,256,2.44,13.7,1074.19
16,1024,3.03,17,1515.09
16,256,4.22,15.7,1184.29
32,256,2.25,13,1402.95
4,256,2.73,13.5,835.12
4,1024,3.77,16,1397.94
16,256,2.19,13,976.05
8,512,1.73,13.7,898.63
16,1024,2.37,15.5,1388.2
16,512,1.98,16.1,1218.18
16,1024,4.29,15.9,1509.67
16,256,3.92,14,1291.35
32,512,3.4,16.2,1618.11
4,1024,4.11,14.1,1279.37
32,128,3.91,14.5,1786.45
32,256,2.06,16.4,1430.3
32,1024,4.18,15.9,1807.11
16,128,3.12,16.8,1286.19
8,1024,3.92,16,1627.42
4,128,4.19,15.6,1206.15
,256,2.45,13.4,786.36
,512,1.83,14.7,1366.68
32,128,2.18,14.2,1474.09
8,1024,2.78,14.1,1154.43
8,256,3.95,17.4,1247.68
8,128,4.08,14.8,1235.86
32,1024,1.52,17,1452.51
32,1024,3.03,15.8,1753.75
4,1024,2.75,16.6,841.57
4,128,2.17,15.3,694.46
32,128,1.86,15.6,1288.14
8,128,2.51,15.2,802.12
8,512,4.33,13.9,1465.34
4,128,2.47,16.3,708.89
32,128,3.06,14.3,
4,128,3.61,13.1,1003.97
4,512,2.59,15.9,1125.23
16,128,4.42,13.8,1215.81
16,1024,,17.2,1774.02
16,128,2.26,17.3,1071.42
8,1024,2.99,17.1,1188.55
32,1024,2.4,14.7,1700.41
32,1024,2.35,13.1,
32,512,1.61,17.2,1347.08
32,512,3.33,14.9,1649.08
,512,3.01,17.3,1259.57
8,128,1.65,17.3,830.25
8,1024,2.34,16.8,1252.41
16,512,4.22,14.3,1608.2
8,512,2.22,14.7,869.82
16,128,1.93,16.8,1229.2
32,512,2.97,14.4,1387.89
16,128,4.46,13.8,1350.22
32,256,2.23,15.5,1465.13
32,512,3.52,17.2,1721.7
4,256,3.78,16.1,1022.53
16,128,2.21,15.6,1025.09
4,1024,3.68,13.4,1223.9
16,512,2.6,15.8,1162.66
16,128,3.4,17.5,1328.36
4,1024,3.4,13.6,1268.9
4,1024,3.11,15.3,1137.41
16,256,1.77,16.9,1121.26
8,128,4.01,16.3,1193.63
32,1024,2.46,16.1,1758.49
4,512,2.06,16.2,967.56
32,512,1.62,14.6,1299.7
8,256,3.27,14.3,1014.28
8,1024,3.53,16.6,1437.43
8,128,1.55,16.6,857.94
4,512,3.04,16.9,1056.51
8,1024,2.18,17.1,1176.93
4,1024,3.44,15.3,1383.97
8,256,2.02,15.3,833.64
32,512,3.57,16.6,1749.81
32,512,2.66,15.9,1531.38
16,128,4.31,16.2,1345.13
32,512,1.91,16.6,1555.98
16,128,2.52,17,1188.94
32,512,1.84,14.5,1495.95
4,256,4.27,14.7,1274.85
32,512,4.13,13.4,1749.2
16,128,2.27,15.6,1123.1
16,128,3.48,13.2,1181.37
8,256,3.95,15.1,1212.72
4,512,3.17,15.4,1050.09
32,512,3.09,14.3,1609.8
8,256,2.23,15.7,987.82
32,512,,13.1,1309.78
32,512,4.19,13.2,1963.34
8,128,4.2,16.7,1094.8
8,512,3.4,14.6,1048.18
8,512,2.52,13.6,1143.41
8,256,2.55,15.4,1052.47
8,256,3.68,16.5,1216.21
32,1024,4.19,14,1978.53
8,128,4.16,15.8,1179.18
4,512,3.84,13.4,1053.87
